timeline,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs
25,10,1972,1,1,100,1,21,6,22,0,5,3,25,1,2,2,2,9,6,80,0,1,1,0,1,0,3,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0640,19.8000,0,18
25,12,1972,1,1,100,1,21,2,6,0,0,2,6,0,0,0,0,1,3,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0736,3.2000,0,6
25,33,1972,2,1,100,1,21,2,8,0,2,2,8,0,0,0,0,3,1,36,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.2820,21.8000,0,6
25,38,1972,2,1,100,1,21,7,26,0,8,4,27,2,1,1,1,9,5,82,0,1,1,1,0,0,7,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0.3156,36.9000,0,21
26,10,1972,1,1,100,1,21,5,22,0,8,3,25,1,2,4,4,6,6,95,0,1,1,0,1,0,5,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1752,16.2000,0,15
26,12,1972,1,1,100,1,21,2,7,0,1,3,8,0,0,0,0,3,0,31,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0736,6.5000,0,6
26,23,1972,1,1,100,1,21,1,3,0,0,0,3,0,0,0,0,1,2,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0167,0.8000,0,3
26,28,1972,2,1,100,1,21,1,3,0,0,0,3,0,0,0,0,1,2,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.1617,6.6000,0,3
26,33,1972,2,1,100,1,21,1,5,0,1,0,6,0,1,0,0,1,3,19,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0.2050,15.6000,0,4
26,38,1972,2,1,100,1,21,6,27,0,8,8,29,4,2,3,1,6,4,110,2,1,1,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0085,32.4000,0,20
